Date,Open,High,Low,Close
2023-01-02,16594.2,16774.8,16543.5,16692.6
2023-01-03,16692.9,16769,16599.8,16670.8
2023-01-04,16671.6,16982.7,16648.1,16821.4
2023-01-05,16821.6,16871.2,16750.6,16833
2023-01-06,16831.2,17023.1,16675.3,16905.9
2023-01-09,16965.1,17394.4,16965.1,17204.6
2023-01-10,17204.3,17494.5,17131.4,17435.2
2023-01-11,17433.5,17591.3,17314.7,17558.2
2023-01-12,17555,19116.9,17551.1,18918.1
2023-01-13,18914.9,19491.8,18719.3,19458.6
2023-01-16,20919.8,21442.9,20627.4,21188.4
2023-01-17,21191.5,21564.6,20855.1,21234.1
2023-01-18,21234.8,21644.3,20412.4,20811.8
2023-01-19,20802.2,21188.4,20645.2,21065.8
2023-01-20,21064.9,22383.6,20867.9,22267.2
2023-01-23,22675.2,23169.1,22613.9,22928.4
2023-01-24,22934.4,23164.5,22730.5,22757.4
2023-01-25,22756.8,23813.6,22364.2,22945.8
2023-01-26,22937.7,23267.5,22869.4,23008.1
2023-01-27,23005.8,23501.3,22560,23131
2023-01-30,23766.7,23875.1,22516.9,22730.8
2023-01-31,22731.3,23292.2,22706.6,23181.8
2023-02-01,23181.9,23802.8,22766.8,23715.2
2023-02-02,23719.9,24244.1,23439.1,23562.1
2023-02-03,23558.4,23718.9,23223.1,23341.4
2023-02-06,22986,23139.3,22639,22883.1
2023-02-07,22878.2,23349.5,22646.3,23234.6
2023-02-08,23232.2,23436.2,22677.5,22930.5
2023-02-09,22931,23002.9,21703.1,21769.7
2023-02-10,21763.5,21941.1,21567.1,21715.2
2023-02-13,21797,21902.5,21389.2,21648.1
2023-02-14,21651.9,22307.8,21600.2,22195.4
2023-02-15,22196.3,24375.6,22056.6,24164.6
2023-02-16,24154.2,25190.4,23991.1,24031.1
2023-02-17,24013.8,25012.5,23352,24806
2023-02-20,24494.3,25098.3,23889.7,24699.7
2023-02-21,24703.6,25247.2,24161.1,24382.4
2023-02-22,24387.9,24474.7,23591.9,24100.9
2023-02-23,24102.5,24599.8,23617.8,23868.4
2023-02-24,23869.4,24128.7,22886.6,23191.9
2023-02-27,23475.5,23890.9,23124.3,23472.5
2023-02-28,23487,23598.7,23027.2,23158.9
2023-03-01,23157.9,23908.7,23027.9,23535.6
2023-03-02,23535,23791.5,23200.6,23467.1
2023-03-03,23462.3,23504.3,22115.3,22286.4
2023-03-06,22434.8,22596,22266.8,22433
2023-03-07,22430,22546.6,21947.5,22108.3
2023-03-08,22103.3,22267.5,21788.9,21788.9
2023-03-09,21788.4,21813.8,20068.1,20342.5
2023-03-10,20345.2,20375.8,19568.5,19976.9
2023-03-13,21915.8,24630.9,21829.1,24299.4
2023-03-14,24296.6,26556.2,24048.2,24804
2023-03-15,24799.8,25255.3,23998.4,24466.5
2023-03-16,24463.9,25210.8,24214.4,25039
2023-03-17,25043.9,27005.9,24944.6,26838
2023-03-20,28182.1,28548.3,27227.9,28059.8
2023-03-21,28055,28514.7,27417.9,28121.7
2023-03-22,28120.3,28872.2,26688.3,27289.1
2023-03-23,27286.3,28784.7,27181,28277.4
2023-03-24,28272.8,28497.3,27526.9,27610.1
2023-03-27,27856.6,28166.3,26665.1,27183.4
2023-03-28,27183.4,27517.2,26644.3,27207.1
2023-03-29,27201.1,28639.4,27149.8,28304.4
2023-03-30,28298.3,29187.3,27689.9,28076.4
2023-03-31,28076.4,28662.1,27526.5,28441.6
2023-04-03,28027.4,28505.7,27376.7,27720
2023-04-04,27725.4,28443.2,27680,28224.1
2023-04-05,28233.1,28777.5,27820.8,28191
2023-04-06,28191.2,28240.5,27723.2,27998.9
2023-04-10,28456.3,29316.4,28197.2,29246
2023-04-11,29246.3,30573,29246.3,30219.1
2023-04-12,30219.4,30446.8,29686.4,29967.5
2023-04-13,29967.4,30604.8,29829,30312.7
2023-04-14,30312.8,31018.5,29998.7,30315.8
2023-04-17,30409.1,30425.5,29260.8,29469.9
2023-04-18,29469.6,30489.2,29123.8,30376.8
2023-04-19,30376.8,30425.8,28834.6,29176.1
2023-04-20,29203.3,29246,28001.2,28232.7
2023-04-21,28232.7,28371.5,27190.9,27258.3
2023-04-24,27519.2,27991.1,27075.8,27415.2
2023-04-25,27414,28314,27194.7,28280.8
2023-04-26,28272.2,30006.4,27396.1,28679.8
2023-04-27,28686.9,29893,28191.5,29656.8
2023-04-28,29656.8,29673.2,28912.2,29351.3
2023-05-01,29428,29447.1,27666.7,27993
2023-05-02,27992.7,28896.3,27878,28674.9
2023-05-03,28677.9,29063.9,28127.6,28931
2023-05-04,28931.2,29374.3,28686.9,28850.3
2023-05-05,28850.3,29672.8,28759,29557.8
2023-05-08,28808.7,28874.9,27282.4,27562.1
2023-05-09,27585.6,27841.5,27405.4,27625.2
2023-05-10,27630.3,28344.5,26885.1,27536.1
2023-05-11,27533.3,27751.5,26776.9,27004.9
2023-05-12,27004.9,27110.9,25845.9,26442.5
2023-05-15,26922.8,27681.1,26754.1,27381.6
2023-05-16,27381.6,27387.2,26887.9,27026.5
2023-05-17,27020.6,27502.4,26604.8,27378.6
2023-05-18,27378.3,27498.7,26477,26931
2023-05-19,26928,27147.9,26740.4,26839
2023-05-22,26761.2,27073.9,26554.1,26913.9
2023-05-23,26913.9,27492.8,26809,27202.1
2023-05-24,27201.6,27252.4,26092.4,26367.1
2023-05-25,26373.3,26618.6,25927,26476.6
2023-05-26,26476.6,26939.3,26329.9,26785.3
2023-05-29,27846.3,28443.2,27532.3,27675
2023-05-30,27675,28046.2,27567,27730.2
2023-05-31,27730.2,27839.7,26849.8,27095.1
2023-06-01,27095.6,27346.7,26620.2,26897.6
2023-06-02,26897.4,27293.2,26512.4,27252.5
2023-06-05,27203.3,27447.1,25418,25669.3
2023-06-06,25666,27205.1,25361.7,27064.6
2023-06-07,27070.4,27372.8,26133.4,26133.4
2023-06-08,26158.8,26815.1,26139,26579.8
2023-06-09,26578.2,26776.1,26291.4,26410.5
2023-06-12,26057,26107.5,25642.1,25931.5
2023-06-13,25931.5,26428.8,25716,25844.1
2023-06-14,25844.1,26073.1,24837.6,25119
2023-06-15,25119,25735,24760.3,25555.6
2023-06-16,25548.8,26472.1,25170.4,26378.6
2023-06-19,26402.2,27046.4,26251.9,26761.9
2023-06-20,26761.9,28284.3,26652.5,28134.2
2023-06-21,28134.2,30763.8,28108.2,29882.5
2023-06-22,29871.2,30499.5,29654.3,30060.4
2023-06-23,30060.4,31400.6,29816.9,30901.8
2023-06-26,30459.7,30666.3,29941.8,30165.5
2023-06-27,30164.4,31005.5,30105.7,30723
2023-06-28,30723.2,30739.2,29951.5,30134
2023-06-29,30134,30832.5,30047.7,30413.1
2023-06-30,30413.7,31272.9,29494.6,30377.2
2023-07-03,30562.7,31386,30433.8,31052.1
2023-07-04,31052.4,31331.1,30626.8,30810.5
2023-07-05,30806.1,30881.4,30198.2,30474.8
2023-07-06,30474.8,31487.2,29893,30222
2023-07-07,30222,30445.6,29723.8,30224.4
2023-07-10,30159.3,31043.1,29960.1,30343.4
2023-07-11,30320.1,30813,30206,30570.5
2023-07-12,30570.8,30974.2,30218.8,30355.4
2023-07-13,30355.4,31818.7,30252.5,31266.5
2023-07-14,31266.2,31627.3,29935.6,30132.8
2023-07-17,30306.6,30375.9,29674.3,30249.2
2023-07-18,30243.8,30273,29531.4,29807.5
2023-07-19,29807.5,30191.6,29762,29933.6
2023-07-20,29933.6,30417.2,29578.8,29879.3
2023-07-21,29867.5,30057.9,29724.5,29867.2
2023-07-24,29954.7,30098,28864.7,29163.8
2023-07-25,29163.6,29371.3,29045.7,29226.9
2023-07-26,29226.9,29682.8,29092.3,29467.2
2023-07-27,29467.2,29566.3,29093.3,29179.2
2023-07-28,29182.1,29527.9,29116.4,29313.9
2023-07-31,29211.3,29525.8,29105.4,29238.3
2023-08-01,29238.3,29343,28565.3,29225.7
2023-08-02,29230,30017.5,28928.7,29162.9
2023-08-03,29162.9,29398.5,28940.7,29221.4
2023-08-04,29217.1,29305.2,28940,28998.4
2023-08-07,29044.3,29241.9,28514,29162.2
2023-08-08,29162.3,30207.3,29110,29849
2023-08-09,29853.5,30117.3,29352.4,29501.2
2023-08-10,29501.2,29705.1,29307.3,29434.8
2023-08-11,29434.8,29521.4,29223.1,29360.1
2023-08-14,29344,29660.9,29076.2,29372.3
2023-08-15,29371.3,29457,29104.6,29197.8
2023-08-16,29197.8,29224.1,28842.6,28897.2
2023-08-17,28897.3,28944.3,25201,26234.7
2023-08-18,26238.8,26989.7,25621.7,26062.5
2023-08-21,26178.6,26230.6,25816.9,26192.4
2023-08-22,26192.1,26192.3,25392.4,25661.2
2023-08-23,25660.5,26805.7,25634.5,26314.8
2023-08-24,26315,26566.1,25857.2,26081.7
2023-08-25,26081.7,26296.3,25765.6,25945.3
2023-08-28,26055.6,26231.7,25864.9,25969.4
2023-08-29,25969.4,28084.6,25904.1,27661.4
2023-08-30,27664.2,27768.9,27022.3,27259.6
2023-08-31,27259.7,27560.7,25665.6,26021.4
2023-09-01,26021.4,26141.7,25332.7,25630
2023-09-04,25963,26089.1,25624,25670.5
2023-09-05,25664.9,25867.1,25571.6,25722.4
2023-09-06,25722.4,26005.7,25403.9,25710.8
2023-09-07,25709.9,26419.4,25600,26140.9
2023-09-08,26146.6,26433.6,25672.4,25874.4
2023-09-11,25892.9,26008,24910.6,25139.9
2023-09-12,25139.9,26544.5,25087,26100.9
2023-09-13,26100.6,26400.6,25761.9,26232
2023-09-14,26232,26857.1,26128.6,26535.4
2023-09-15,26542.5,26676.1,26224,26402.5
2023-09-18,26491.3,27414.7,26407.6,26843.4
2023-09-19,26843.4,27484.5,26674.9,27161.8
2023-09-20,27161.8,27391.9,26807.9,27108.2
2023-09-21,27113.7,27157,26380.2,26612.6
2023-09-22,26612.6,26739.6,26481.2,26540.4
2023-09-25,26520.4,26520.4,25994,26276.5
2023-09-26,26278.3,26392.1,26080.5,26154.1
2023-09-27,26154.1,26823.8,26095.7,26257.5
2023-09-28,26260.5,27296.3,26260.5,27004.5
2023-09-29,27002.2,27232.5,26704.8,26918.5
